,date,year,month,price,volumn
0,1999-01,1999,01,20.3,230.3
1,1999-02,1999,02,27.7,2248.7
2,1999-03,1999,03,15.8,18235.1
3,1999-04,1999,04,11.2,26201.8
4,1999-05,1999,05,8.6,27782.8
5,1999-06,1999,06,9.3,31282.5
6,1999-07,1999,07,9.3,21000.6
7,1999-08,1999,08,15.1,10110.7
8,1999-09,1999,09,17.0,10218.2
9,1999-10,1999,10,14.6,3904.2
10,1999-11,1999,11,12.6,3044.0
11,1999-12,1999,12,13.5,1041.3
12,2000-01,2000,01,17.2,831.3
13,2000-02,2000,02,14.1,3084.5
14,2000-03,2000,03,18.6,3697.6
15,2000-04,2000,04,16.9,20886.0
16,2000-05,2000,05,12.4,27153.0
17,2000-06,2000,06,6.4,40697.7
18,2000-07,2000,07,10.2,20844.9
19,2000-08,2000,08,12.3,11012.4
20,2000-09,2000,09,12.5,9826.8
21,2000-10,2000,10,18.9,2823.4
22,2000-11,2000,11,13.5,2265.5
23,2000-12,2000,12,19.1,264.7
24,2001-01,2001,01,18.8,607.4
25,2001-02,2001,02,17.5,4559.5
26,2001-03,2001,03,11.9,11706.7
27,2001-04,2001,04,6.7,32992.0
28,2001-05,2001,05,9.0,20068.0
29,2001-06,2001,06,12.1,19941.4
30,2001-07,2001,07,11.6,16509.2
31,2001-08,2001,08,15.6,12757.6
32,2001-09,2001,09,10.8,10386.1
33,2001-10,2001,10,12.2,1090.3
34,2001-11,2001,11,12.5,1645.5
35,2001-12,2001,12,9.0,863.7
36,2002-01,2002,01,6.2,564.2
37,2002-02,2002,02,9.0,2255.8
38,2002-03,2002,03,13.2,13555.7
39,2002-04,2002,04,9.3,18712.6
40,2002-05,2002,05,7.1,26320.3
41,2002-06,2002,06,10.2,20719.0
42,2002-07,2002,07,12.2,8663.5
43,2002-08,2002,08,7.8,16486.0
44,2002-09,2002,09,7.4,6717.7
45,2002-10,2002,10,14.4,2864.9
46,2002-11,2002,11,14.1,1717.9
47,2002-12,2002,12,7.6,155.8
48,2003-01,2003,01,10.1,367.0
49,2003-02,2003,02,15.3,2838.1
50,2003-03,2003,03,13.2,9950.0
51,2003-04,2003,04,11.2,11269.2
52,2003-05,2003,05,10.6,12374.0
53,2003-06,2003,06,7.8,13329.4
54,2003-07,2003,07,13.1,9056.1
55,2003-08,2003,08,6.8,18217.1
56,2003-09,2003,09,10.6,7692.1
