date,year,month,price,volumn
1999-01,1999.0,1.0,20.3,230.3
1999-02,1999.0,2.0,27.7,2248.7
1999-03,1999.0,3.0,15.8,18235.1
1999-04,1999.0,4.0,11.2,26201.8
1999-05,1999.0,5.0,8.6,27782.8
1999-06,1999.0,6.0,9.3,31282.5
1999-07,1999.0,7.0,9.3,21000.6
1999-08,1999.0,8.0,15.1,10110.7
1999-09,1999.0,9.0,17.0,10218.2
1999-10,1999.0,10.0,14.6,3904.2
1999-11,1999.0,11.0,12.6,3044.0
1999-12,1999.0,12.0,13.5,1041.3
2000-01,2000.0,1.0,17.2,831.3
2000-02,2000.0,2.0,14.1,3084.5
2000-03,2000.0,3.0,18.6,3697.6
2000-04,2000.0,4.0,16.9,20886.0
2000-05,2000.0,5.0,12.4,27153.0
2000-06,2000.0,6.0,6.4,40697.7
2000-07,2000.0,7.0,10.2,20844.9
2000-08,2000.0,8.0,12.3,11012.4
2000-09,2000.0,9.0,12.5,9826.8
2000-10,2000.0,10.0,18.9,2823.4
2000-11,2000.0,11.0,13.5,2265.5
2000-12,2000.0,12.0,19.1,264.7
2001-01,2001.0,1.0,18.8,607.4
2001-02,2001.0,2.0,17.5,4559.5
2001-03,2001.0,3.0,11.9,11706.7
2001-04,2001.0,4.0,6.7,32992.0
2001-05,2001.0,5.0,9.0,20068.0
2001-06,2001.0,6.0,12.1,19941.4
2001-07,2001.0,7.0,11.6,16509.2
2001-08,2001.0,8.0,15.6,12757.6
2001-09,2001.0,9.0,10.8,10386.1
2001-10,2001.0,10.0,12.2,1090.3
2001-11,2001.0,11.0,12.5,1645.5
2001-12,2001.0,12.0,9.0,863.7
2002-01,2002.0,1.0,6.2,564.2
2002-02,2002.0,2.0,9.0,2255.8
2002-03,2002.0,3.0,13.2,13555.7
2002-04,2002.0,4.0,9.3,18712.6
2002-05,2002.0,5.0,7.1,26320.3
2002-06,2002.0,6.0,10.2,20719.0
2002-07,2002.0,7.0,12.2,8663.5
2002-08,2002.0,8.0,7.8,16486.0
2002-09,2002.0,9.0,7.4,6717.7
2002-10,2002.0,10.0,14.4,2864.9
2002-11,2002.0,11.0,14.1,1717.9
2002-12,2002.0,12.0,7.6,155.8
2003-01,2003.0,1.0,10.1,367.0
2003-02,2003.0,2.0,15.3,2838.1
2003-03,2003.0,3.0,13.2,9950.0
2003-04,2003.0,4.0,11.2,11269.2
2003-05,2003.0,5.0,10.6,12374.0
2003-06,2003.0,6.0,7.8,13329.4
2003-07,2003.0,7.0,13.1,9056.1
2003-08,2003.0,8.0,6.8,18217.1
2003-09,2003.0,9.0,10.6,7692.1
2003-10,2003.0,10.0,11.4,3751.9
2003-11,2003.0,11.0,11.4,2243.0
2003-12,2003.0,12.0,10.4,672.0
2004-01,2004.0,1.0,3.7,764.5
2004-02,2004.0,2.0,27.0,2395.3
2004-03,2004.0,3.0,21.2,4042.1
2004-04,2004.0,4.0,8.9,16789.8
2004-05,2004.0,5.0,7.7,17554.8
2004-06,2004.0,6.0,8.8,15250.2
2004-07,2004.0,7.0,14.5,7967.1
2004-08,2004.0,8.0,17.8,8603.0
2004-09,2004.0,9.0,6.4,13027.3
2004-10,2004.0,10.0,9.0,3637.6
2004-11,2004.0,11.0,7.2,5255.8
2004-12,2004.0,12.0,10.8,898.5
2005-01,2005.0,1.0,10.8,898.5
2005-02,2005.0,2.0,22.9,546.6
2005-03,2005.0,3.0,14.5,2514.6
2005-04,2005.0,4.0,24.1,2657.9
2005-05,2005.0,5.0,13.8,11637.9
2005-06,2005.0,6.0,16.1,8107.4
2005-07,2005.0,7.0,25.6,6337.9
2005-08,2005.0,8.0,22.2,2593.5
2005-09,2005.0,9.0,16.2,3094.8
2005-10,2005.0,10.0,19.2,3539.0
2005-11,2005.0,11.0,16.5,3874.9
2005-12,2005.0,12.0,10.7,720.8
2006-01,2006.0,1.0,19.1,569.0
2006-02,2006.0,2.0,6.5,119.0
2006-03,2006.0,3.0,16.9,4440.0
2006-04,2006.0,4.0,14.3,5503.1
2006-05,2006.0,5.0,10.7,13249.4
2006-06,2006.0,6.0,14.5,7811.1
2006-07,2006.0,7.0,16.8,9860.7
2006-08,2006.0,8.0,13.1,14548.4
2006-09,2006.0,9.0,13.4,12865.9
2006-10,2006.0,10.0,11.7,7877.5
2006-11,2006.0,11.0,10.8,4304.7
2006-12,2006.0,12.0,7.7,137.0
2007-01,2007.0,1.0,9.4,360.6
2007-02,2007.0,2.0,10.7,1067.3
2007-03,2007.0,3.0,12.5,11570.8
2007-04,2007.0,4.0,10.6,20102.6
2007-05,2007.0,5.0,11.3,16160.7
2007-06,2007.0,6.0,8.9,15098.4
2007-07,2007.0,7.0,10.5,20654.6
2007-08,2007.0,8.0,9.4,22768.1
2007-09,2007.0,9.0,15.8,2285.6
2007-10,2007.0,10.0,12.3,1312.4
2007-11,2007.0,11.0,9.5,1263.4
2007-12,2007.0,12.0,7.6,1729.4
2008-01,2008.0,1.0,12.4,89.0
2008-02,2008.0,2.0,16.2,776.4
2008-03,2008.0,3.0,15.0,2106.5
2008-04,2008.0,4.0,15.9,11836.5
2008-05,2008.0,5.0,10.3,10997.3
2008-06,2008.0,6.0,11.5,16514.7
2008-07,2008.0,7.0,18.9,9278.8
2008-08,2008.0,8.0,20.2,4492.7
2008-09,2008.0,9.0,13.4,7584.1
2008-10,2008.0,10.0,17.6,3692.9
2008-11,2008.0,11.0,13.6,3763.7
2008-12,2008.0,12.0,11.2,1883.9
2009-01,2009.0,1.0,6.1,618.8
2009-02,2009.0,2.0,21.9,2292.6
