v1,date,year,month,price,volumn,train,year_month,y_m,lnp,lag1lnp,newlnp,train_p,test_p,y_hat
0,1999-01,1999,1,20.299999,230.3,0,1999-01,1999m1,3.0106208,,,,,-.0013360786
1,1999-02,1999,2,27.700001,2248.7,0,1999-02,1999m2,3.3214324,3.0106208,-.31081152,-.31081152,,-.0013360786
2,1999-03,1999,3,15.8,18235.1,0,1999-03,1999m3,2.76001,3.3214324,.56142235,.56142235,,.10362221
3,1999-04,1999,4,11.2,26201.801,0,1999-04,1999m4,2.4159138,2.76001,.34409618,.34409618,,-.15302975
4,1999-05,1999,5,8.6000004,27782.801,0,1999-05,1999m5,2.1517622,2.4159138,.26415157,.26415157,,-.35447145
5,1999-06,1999,6,9.3000002,31282.5,0,1999-06,1999m6,2.2300143,2.1517622,-.078252077,-.078252077,,-.43058574
6,1999-07,1999,7,9.3000002,21000.6,0,1999-07,1999m7,2.2300143,2.2300143,0,0,,-.34631279
7,1999-08,1999,8,15.1,10110.7,0,1999-08,1999m8,2.7146947,2.2300143,-.48468041,-.48468041,,-.27228525
8,1999-09,1999,9,17,10218.2,0,1999-09,1999m9,2.8332133,2.7146947,-.11851859,-.11851859,,.037250888
9,1999-10,1999,10,14.6,3904.2,0,1999-10,1999m10,2.6810215,2.8332133,.15219188,.15219188,,.16725112
10,1999-11,1999,11,12.6,3044,0,1999-11,1999m11,2.5336969,2.6810215,.14732456,.14732456,,.015761126
11,1999-12,1999,12,13.5,1041.3,0,1999-12,1999m12,2.6026897,2.5336969,-.068992853,-.068992853,,-.061696038
12,2000-01,2000,1,17.200001,831.29999,0,2000-01,2000m1,2.8449094,2.6026897,-.24221969,-.24221969,,-.050092287
13,2000-02,2000,2,14.1,3084.5,0,2000-02,2000m2,2.6461749,2.8449094,.19873452,.19873452,,.15309612
14,2000-03,2000,3,18.6,3697.6001,0,2000-03,2000m3,2.9231615,2.6461749,-.2769866,-.2769866,,-.0065200743
15,2000-04,2000,4,16.9,20886,0,2000-04,2000m4,2.8273137,2.9231615,.095847845,.095847845,,.18192361
16,2000-05,2000,5,12.4,27153,0,2000-05,2000m5,2.5176964,2.8273137,.30961728,.30961728,,.11694059
17,2000-06,2000,6,6.4000001,40697.699,0,2000-06,2000m6,1.856298,2.5176964,.66139841,.66139841,,-.1098255
18,2000-07,2000,7,10.2,20844.9,0,2000-07,2000m7,2.3223877,1.856298,-.46608973,-.46608973,,-.57630408
19,2000-08,2000,8,12.3,11012.4,0,2000-08,2000m8,2.5095992,2.3223877,-.18721151,-.18721151,,-.27345479
20,2000-09,2000,9,12.5,9826.7998,0,2000-09,2000m9,2.5257287,2.5095992,-.016129494,-.016129494,,-.063146219
21,2000-10,2000,10,18.9,2823.3999,0,2000-10,2000m10,2.939162,2.5257287,-.41343331,-.41343331,,-.08228416
22,2000-11,2000,11,13.5,2265.5,0,2000-11,2000m11,2.6026897,2.939162,.33647227,.33647227,,.23592837
23,2000-12,2000,12,19.1,264.70001,0,2000-12,2000m12,2.9496884,2.6026897,-.34699869,-.34699869,,-.0026753836
24,2001-01,2001,1,18.799999,607.40002,0,2001-01,2001m1,2.9338567,2.9496884,.015831709,.015831709,,.21193814
25,2001-02,2001,2,17.5,4559.5,0,2001-02,2001m2,2.862201,2.9338567,.07165575,.07165575,,.23249006
26,2001-03,2001,3,11.9,11706.7,0,2001-03,2001m3,2.4765384,2.862201,.38566256,.38566256,,.14447595
27,2001-04,2001,4,6.6999998,32992,0,2001-04,2001m4,1.9021075,2.4765384,.57443094,.57443094,,-.11210853
28,2001-05,2001,5,9,20068,0,2001-05,2001m5,2.1972246,1.9021075,-.29511714,-.29511714,,-.56106228
29,2001-06,2001,6,12.1,19941.4,0,2001-06,2001m6,2.4932055,2.1972246,-.29598093,-.29598093,,-.34752384
30,2001-07,2001,7,11.6,16509.199,0,2001-07,2001m7,2.4510052,2.4932055,.042200327,.042200327,,-.10445427
31,2001-08,2001,8,15.6,12757.6,0,2001-08,2001m8,2.7472708,2.4510052,-.2962656,-.2962656,,-.11583167
32,2001-09,2001,9,10.8,10386.1,0,2001-09,2001m9,2.3795462,2.7472708,.36772466,.36772466,,.077779539
33,2001-10,2001,10,12.2,1090.3,0,2001-10,2001m10,2.501436,2.3795462,-.12188983,-.12188983,,-.14418794
34,2001-11,2001,11,12.5,1645.5,0,2001-11,2001m11,2.5257287,2.501436,-.024292707,-.024292707,,-.11934249
35,2001-12,2001,12,9,863.70001,0,2001-12,2001m12,2.1972246,2.5257287,.32850409,.32850409,,-.039314333
36,2002-01,2002,1,6.1999998,564.20001,0,2002-01,2002m1,1.8245493,2.1972246,.3726753,.3726753,,-.31883904
37,2002-02,2002,2,9,2255.8,0,2002-02,2002m2,2.1972246,1.8245493,-.3726753,-.3726753,,-.55517232
38,2002-03,2002,3,13.2,13555.7,0,2002-03,2002m3,2.5802169,2.1972246,-.38299227,-.38299227,,-.34109414
39,2002-04,2002,4,9.3000002,18712.6,0,2002-04,2002m4,2.2300143,2.5802169,.35020256,.35020256,,.024396081
40,2002-05,2002,5,7.0999999,26320.301,0,2002-05,2002m5,1.9600948,2.2300143,.26991951,.26991951,,-.26050061
41,2002-06,2002,6,10.2,20719,0,2002-06,2002m6,2.3223877,1.9600948,-.36229289,-.36229289,,-.43589672
42,2002-07,2002,7,12.2,8663.5,0,2002-07,2002m7,2.501436,2.3223877,-.1790483,-.1790483,,-.22024761
43,2002-08,2002,8,7.8000002,16486,0,2002-08,2002m8,2.0541236,2.501436,.44731236,.44731236,,-.010921977
44,2002-09,2002,9,7.4000001,6717.7002,0,2002-09,2002m9,2.0014801,2.0541236,.052643538,.052643538,,-.3747718
45,2002-10,2002,10,14.4,2864.8999,0,2002-10,2002m10,2.6672282,2.0014801,-.66574812,-.66574812,,-.39963055
46,2002-11,2002,11,14.1,1717.9,0,2002-11,2002m11,2.6461749,2.6672282,.021053314,.021053314,,.052853439
47,2002-12,2002,12,7.5999999,155.8,0,2002-12,2002m12,2.0281482,2.6461749,.61802673,.61802673,,.12763777
48,2003-01,2003,1,10.1,367,0,2003-01,2003m1,2.3125355,2.0281482,-.28438735,-.28438735,,-.38620117
49,2003-02,2003,2,15.3,2838.1001,0,2003-02,2003m2,2.7278528,2.3125355,-.4153173,-.4153173,,-.17390928
50,2003-03,2003,3,13.2,9950,0,2003-03,2003m3,2.5802169,2.7278528,.14763594,.14763594,,.12811217
51,2003-04,2003,4,11.2,11269.2,0,2003-04,2003m4,2.4159138,2.5802169,.16430306,.16430306,,.069143124
52,2003-05,2003,5,10.6,12374,0,2003-05,2003m5,2.3608541,2.4159138,.055059671,.055059671,,-.10446328
53,2003-06,2003,6,7.8000002,13329.4,0,2003-06,2003m6,2.0541236,2.3608541,.30673051,.30673051,,-.11272301
54,2003-07,2003,7,13.1,9056.0996,0,2003-07,2003m7,2.5726123,2.0541236,-.51848865,-.51848865,,-.36514291
55,2003-08,2003,8,6.8000002,18217.1,0,2003-08,2003m8,1.9169227,2.5726123,.6556896,.6556896,,.013545504
56,2003-09,2003,9,10.6,7692.1001,0,2003-09,2003m9,2.3608541,1.9169227,-.44393146,-.44393146,,-.4141418
57,2003-10,2003,10,11.4,3751.8999,0,2003-10,2003m10,2.4336133,2.3608541,-.072759151,-.072759151,,-.17788896
58,2003-11,2003,11,11.4,2243,0,2003-11,2003m11,2.4336133,2.4336133,0,0,,-.02167492
59,2003-12,2003,12,10.4,672,0,2003-12,2003m12,2.3418057,2.4336133,.091807604,.091807604,,-.097233355
60,2004-01,2004,1,3.7,764.5,0,2004-01,2004m1,1.3083328,2.3418057,1.0334729,1.0334729,,-.091201857
61,2004-02,2004,2,27,2395.3,0,2004-02,2004m2,3.2958369,1.3083328,-1.9875041,-1.9875041,,-.90089768
62,2004-03,2004,3,21.200001,4042.1001,0,2004-03,2004m3,3.0540013,3.2958369,.24183559,.24183559,,.4921079
63,2004-04,2004,4,8.8999996,16789.801,0,2004-04,2004m4,2.1860511,3.0540013,.8679502,.8679502,,.50935
64,2004-05,2004,5,7.6999998,17554.801,0,2004-05,2004m5,2.0412202,2.1860511,.14483094,.14483094,,-.26857868
65,2004-06,2004,6,8.8000002,15250.2,0,2004-06,2004m6,2.1747518,2.0412202,-.13353157,-.13353157,,-.33204481
66,2004-07,2004,7,14.5,7967.1001,0,2004-07,2004m7,2.6741486,2.1747518,-.4993968,-.4993968,,-.30269608
67,2004-08,2004,8,17.799999,8603,0,2004-08,2004m8,2.8791983,2.6741486,-.20504975,-.20504975,,.14309089
68,2004-09,2004,9,6.4000001,13027.3,0,2004-09,2004m9,1.856298,2.8791983,1.0229003,1.0229003,,.25208467
69,2004-10,2004,10,9,3637.6001,0,2004-10,2004m10,2.1972246,1.856298,-.34092665,-.34092665,,-.41239324
70,2004-11,2004,11,7.1999998,5255.7998,0,2004-11,2004m11,1.974081,2.1972246,.22314358,.22314358,,-.33308464
71,2004-12,2004,12,10.8,898.5,0,2004-12,2004m12,2.3795462,1.974081,-.40546513,-.40546513,,-.3168737
72,2005-01,2005,1,10.8,898.5,0,2005-01,2005m1,2.3795462,2.3795462,0,0,,-.19596884
73,2005-02,2005,2,22.9,546.59998,0,2005-02,2005m2,3.1311369,2.3795462,-.75159073,-.75159073,,.0043305261
74,2005-03,2005,3,14.5,2514.6001,0,2005-03,2005m3,2.6741486,3.1311369,.45698833,.45698833,,.35210925
75,2005-04,2005,4,24.1,2657.8999,0,2005-04,2005m4,3.1822119,2.6741486,-.50806332,-.50806332,,.27502617
76,2005-05,2005,5,13.8,11637.9,0,2005-05,2005m5,2.6246686,3.1822119,.55754328,.55754328,,.35357773
77,2005-06,2005,6,16.1,8107.3999,0,2005-06,2005m6,2.7788193,2.6246686,-.15415072,-.15415072,,.25722051
78,2005-07,2005,7,25.6,6337.8999,0,2005-07,2005m7,3.2425923,2.7788193,-.46377301,-.46377301,,.023088226
79,2005-08,2005,8,22.200001,2593.5,0,2005-08,2005m8,3.1000924,3.2425923,.14249992,.14249992,,.68142879
80,2005-09,2005,9,16.200001,3094.8,0,2005-09,2005m9,2.7850113,3.1000924,.31508112,.31508112,,.30070552
81,2005-10,2005,10,19.200001,3539,0,2005-10,2005m10,2.9549103,2.7850113,-.16989899,-.16989899,,.33594698
82,2005-11,2005,11,16.5,3874.8999,0,2005-11,2005m11,2.8033605,2.9549103,.15154982,.15154982,,.1487956
83,2005-12,2005,12,10.7,720.79999,0,2005-12,2005m12,2.3702438,2.8033605,.43311667,.43311667,,.34937334
84,2006-01,2006,1,19.1,569,0,2006-01,2006m1,2.9496884,2.3702438,-.57944465,-.57944465,,-.27824107
