,date,year,month,price,volumn,train
0,1999-01,1999,1,20.3,230.3,0
1,1999-02,1999,2,27.7,2248.7,0
2,1999-03,1999,3,15.8,18235.1,0
3,1999-04,1999,4,11.2,26201.8,0
4,1999-05,1999,5,8.6,27782.8,0
5,1999-06,1999,6,9.3,31282.5,0
6,1999-07,1999,7,9.3,21000.6,0
7,1999-08,1999,8,15.1,10110.7,0
8,1999-09,1999,9,17.0,10218.2,0
9,1999-10,1999,10,14.6,3904.2,0
10,1999-11,1999,11,12.6,3044.0,0
11,1999-12,1999,12,13.5,1041.3,0
12,2000-01,2000,1,17.2,831.3,0
13,2000-02,2000,2,14.1,3084.5,0
14,2000-03,2000,3,18.6,3697.6,0
15,2000-04,2000,4,16.9,20886.0,0
16,2000-05,2000,5,12.4,27153.0,0
17,2000-06,2000,6,6.4,40697.7,0
18,2000-07,2000,7,10.2,20844.9,0
19,2000-08,2000,8,12.3,11012.4,0
20,2000-09,2000,9,12.5,9826.8,0
21,2000-10,2000,10,18.9,2823.4,0
22,2000-11,2000,11,13.5,2265.5,0
23,2000-12,2000,12,19.1,264.7,0
24,2001-01,2001,1,18.8,607.4,0
25,2001-02,2001,2,17.5,4559.5,0
26,2001-03,2001,3,11.9,11706.7,0
27,2001-04,2001,4,6.7,32992.0,0
28,2001-05,2001,5,9.0,20068.0,0
29,2001-06,2001,6,12.1,19941.4,0
30,2001-07,2001,7,11.6,16509.2,0
31,2001-08,2001,8,15.6,12757.6,0
32,2001-09,2001,9,10.8,10386.1,0
33,2001-10,2001,10,12.2,1090.3,0
34,2001-11,2001,11,12.5,1645.5,0
35,2001-12,2001,12,9.0,863.7,0
36,2002-01,2002,1,6.2,564.2,0
37,2002-02,2002,2,9.0,2255.8,0
38,2002-03,2002,3,13.2,13555.7,0
39,2002-04,2002,4,9.3,18712.6,0
40,2002-05,2002,5,7.1,26320.3,0
41,2002-06,2002,6,10.2,20719.0,0
42,2002-07,2002,7,12.2,8663.5,0
43,2002-08,2002,8,7.8,16486.0,0
44,2002-09,2002,9,7.4,6717.7,0
45,2002-10,2002,10,14.4,2864.9,0
46,2002-11,2002,11,14.1,1717.9,0
47,2002-12,2002,12,7.6,155.8,0
48,2003-01,2003,1,10.1,367.0,0
49,2003-02,2003,2,15.3,2838.1,0
50,2003-03,2003,3,13.2,9950.0,0
51,2003-04,2003,4,11.2,11269.2,0
52,2003-05,2003,5,10.6,12374.0,0
53,2003-06,2003,6,7.8,13329.4,0
54,2003-07,2003,7,13.1,9056.1,0
55,2003-08,2003,8,6.8,18217.1,0
56,2003-09,2003,9,10.6,7692.1,0
57,2003-10,2003,10,11.4,3751.9,0
58,2003-11,2003,11,11.4,2243.0,0
59,2003-12,2003,12,10.4,672.0,0
60,2004-01,2004,1,3.7,764.5,0
61,2004-02,2004,2,27.0,2395.3,0
62,2004-03,2004,3,21.2,4042.1,0
63,2004-04,2004,4,8.9,16789.8,0
64,2004-05,2004,5,7.7,17554.8,0
65,2004-06,2004,6,8.8,15250.2,0
66,2004-07,2004,7,14.5,7967.1,0
67,2004-08,2004,8,17.8,8603.0,0
68,2004-09,2004,9,6.4,13027.3,0
69,2004-10,2004,10,9.0,3637.6,0
70,2004-11,2004,11,7.2,5255.8,0
71,2004-12,2004,12,10.8,898.5,0
72,2005-01,2005,1,10.8,898.5,0
73,2005-02,2005,2,22.9,546.6,0
74,2005-03,2005,3,14.5,2514.6,0
75,2005-04,2005,4,24.1,2657.9,0
76,2005-05,2005,5,13.8,11637.9,0
77,2005-06,2005,6,16.1,8107.4,0
78,2005-07,2005,7,25.6,6337.9,0
79,2005-08,2005,8,22.2,2593.5,0
80,2005-09,2005,9,16.2,3094.8,0
81,2005-10,2005,10,19.2,3539.0,0
82,2005-11,2005,11,16.5,3874.9,0
83,2005-12,2005,12,10.7,720.8,0
84,2006-01,2006,1,19.1,569.0,0
85,2006-02,2006,2,6.5,119.0,0
86,2006-03,2006,3,16.9,4440.0,0
87,2006-04,2006,4,14.3,5503.1,0
88,2006-05,2006,5,10.7,13249.4,0
89,2006-06,2006,6,14.5,7811.1,0
90,2006-07,2006,7,16.8,9860.7,0
91,2006-08,2006,8,13.1,14548.4,0
92,2006-09,2006,9,13.4,12865.9,0
93,2006-10,2006,10,11.7,7877.5,0
94,2006-11,2006,11,10.8,4304.7,0
95,2006-12,2006,12,7.7,137.0,0
96,2007-01,2007,1,9.4,360.6,0
97,2007-02,2007,2,10.7,1067.3,0
98,2007-03,2007,3,12.5,11570.8,0
99,2007-04,2007,4,10.6,20102.6,0
100,2007-05,2007,5,11.3,16160.7,0
101,2007-06,2007,6,8.9,15098.4,0
102,2007-07,2007,7,10.5,20654.6,0
103,2007-08,2007,8,9.4,22768.1,0
104,2007-09,2007,9,15.8,2285.6,0
105,2007-10,2007,10,12.3,1312.4,0
106,2007-11,2007,11,9.5,1263.4,0
107,2007-12,2007,12,7.6,1729.4,0
108,2008-01,2008,1,12.4,89.0,0
109,2008-02,2008,2,16.2,776.4,0
110,2008-03,2008,3,15.0,2106.5,0
111,2008-04,2008,4,15.9,11836.5,0
112,2008-05,2008,5,10.3,10997.3,0
113,2008-06,2008,6,11.5,16514.7,0
114,2008-07,2008,7,18.9,9278.8,0
115,2008-08,2008,8,20.2,4492.7,0
116,2008-09,2008,9,13.4,7584.1,0
117,2008-10,2008,10,17.6,3692.9,0
118,2008-11,2008,11,13.6,3763.7,0
